,action_object_ratio
0,12.803174603174604
1,25.076119402985075
2,14.950735294117647
3,15.874074074074073
4,14.882517482517482
5,32.00454545454546
6,22.45806451612903
7,16.09027777777778
8,19.212857142857143
9,14.935074626865672
10,14.218260869565217
11,19.41
12,3.2242937853107345
13,14.686046511627907
14,15.10188679245283
15,16.754198473282443
16,13.786363636363637
17,14.06530612244898
18,15.902752293577981
19,13.745
20,17.018421052631577
21,20.169444444444444
22,14.338194444444444
23,15.315178571428572
24,16.302189781021898
25,11.845299145299146
26,18.173684210526314
27,13.177
28,13.474418604651163
29,15.088034188034188
30,12.842528735632184
31,10.220670391061452
32,9.939130434782609
33,9.998165137614679
34,16.62682926829268
35,35.37647058823529
36,19.55483870967742
37,18.7
38,13.518131868131869
39,10.309411764705882
40,17.92919708029197
41,15.793333333333333
42,14.46962962962963
43,16.592307692307692
44,15.056435643564356
45,18.420454545454547
46,12.933333333333334
47,16.026829268292683
48,19.90442477876106
49,18.461206896551722
50,21.855555555555554
51,16.785714285714285
52,16.253153153153153
53,10.482914572864322
54,14.758490566037736
55,24.68974358974359
56,18.5
57,16.14927536231884
58,9.273939393939393
59,15.6
60,16.097435897435897
61,14.340697674418605
62,19.530666666666665
63,13.72970297029703
64,15.974157303370786
65,12.151785714285714
66,11.882738095238095
67,14.161363636363637
68,16.2655737704918
69,18.849367088607593
70,16.14927536231884
71,13.166666666666666
72,20.031868131868134
73,11.86985294117647
74,16.8875
75,23.585483870967742
76,15.3
77,16.425925925925927
78,10.525
79,12.566883116883117
80,19.325641025641026
81,22.885526315789473
82,15.602439024390243
83,15.066379310344828
84,18.482
85,14.35897435897436
86,16.21829268292683
87,17.2
88,19.129213483146067
89,16.58108108108108
90,17.81
91,18.789430894308943
92,15.666666666666666
93,21.257894736842104
94,10.727642276422765
95,17.38888888888889
96,23.370967741935484
97,16.251162790697673
98,15.935658914728682
99,15.621212121212121
100,19.482758620689655
101,20.456666666666667
102,15.806060606060607
103,19.417567567567566
104,16.385714285714286
105,21.1
106,18.464102564102564
107,15.654310344827586
108,8.89016393442623
109,21.455172413793104
110,16.2125
111,18.789430894308943
112,11.375862068965517
113,23.81758241758242
114,19.137878787878787
115,19.65714285714286
116,15.256451612903225
117,15.362135922330097
118,13.535135135135135
119,17.425
120,11.573684210526316
121,15.236082474226803
122,11.636842105263158
123,21.517142857142858
124,16.432456140350876
125,19.7125
126,16.822352941176472
127,19.366666666666667
128,7.447872340425532
129,15.333333333333334
130,15.38
131,13.83235294117647
132,17.457894736842107
133,18.476470588235294
134,11.465
135,13.974074074074075
136,17.997560975609755
137,14.286206896551723
138,21.892307692307693
139,15.695698924731182
140,13.252054794520548
141,16.4247311827957
142,19.615151515151513
143,15.435772357723577
144,15.910169491525425
145,15.575
146,17.3
147,12.859354838709677
148,16.58684210526316
149,19.440625
150,15.383760683760684
151,16.833333333333332
152,19.164444444444445
153,16.398979591836735
154,14.188976377952756
155,14.393396226415094
156,13.190361445783132
157,6.89349593495935
158,10.7
159,15.401
160,3.608421052631579
161,12.596296296296297
162,16.347619047619048
163,13.442105263157895
164,10.618918918918919
165,18.586666666666666
166,13.533333333333333
167,13.784375
168,14.655862068965517
169,15.365789473684211
170,11.55268817204301
171,31.820689655172412
172,15.402439024390244
173,14.830232558139535
174,19.43918918918919
175,15.135849056603774
176,19.981553398058253
177,13.987165775401069
178,12.122018348623854
179,17.41
180,15.913461538461538
181,15.35377358490566
182,17.43456790123457
183,15.2
184,15.903030303030302
185,15.656028368794326
186,16.69622641509434
187,16.66990291262136
188,15.165263157894737
189,7.1432926829268295
190,15.055696202531646
191,11.059036144578313
192,17.16551724137931
193,20.918181818181818
194,13.81904761904762
195,6.35
196,18.464406779661015
197,13.74
198,12.911016949152541
199,14.81625
200,17.251785714285713
201,14.79875
202,21.914285714285715
203,16.209375
204,11.411764705882353
205,13.793965517241379
206,16.451612903225808
207,13.636842105263158
208,16.02252252252252
209,15.692424242424243
210,11.898780487804878
211,19.6265306122449
212,15.6675
213,16.34107142857143
214,18.553968253968254
215,14.679069767441861
216,18.763
217,16.985185185185184
218,12.71
219,7.485526315789474
220,19.986206896551725
221,16.684615384615384
222,16.35
223,19.538
224,16.399009900990098
225,15.3
226,14.96046511627907
227,15.887962962962963
228,16.111764705882354
229,16.22676056338028
230,15.27878787878788
231,19.6325
232,19.47808219178082
233,21.326923076923077
234,15.014492753623188
235,19.172932330827066
236,9.332456140350876
237,14.838028169014084
238,13.71029411764706
239,16.7
240,15.353846153846154
241,15.925882352941176
242,16.13529411764706
243,16.15714285714286
244,14.71111111111111
245,18.337142857142858
246,14.661261261261261
247,19.370967741935484
248,17.022680412371134
249,12.417543859649124
250,16.545161290322582
251,11.565217391304348
252,14.656521739130435
253,18.864
254,18.013402061855672
255,5.6571428571428575
256,8.491666666666667
257,13.257843137254902
258,18.050515463917527
259,16.13684210526316
260,17.740625
261,16.203125
262,15.903389830508475
263,18.46
264,18.724
265,14.13859649122807
266,13.54
267,13.23913043478261
268,15.835555555555555
269,17.404477611940298
270,10.095454545454546
271,12.681818181818182
272,9.781481481481482
273,9.0
274,8.054054054054054
275,15.784210526315789
276,12.713978494623657
277,16.2390243902439
278,19.34375
279,18.77777777777778
280,6.9248322147651
281,20.327083333333334
282,9.530985915492957
283,10.168831168831169
284,9.86546762589928
285,19.86857142857143
286,14.55483870967742
287,10.810569105691057
288,15.010833333333334
289,14.044776119402986
290,16.807407407407407
291,15.213333333333333
292,13.89047619047619
293,29.313725490196077
294,13.469444444444445
295,13.962244897959184
296,18.704
297,18.830357142857142
298,3.108695652173913
299,10.020754716981132
300,19.693939393939395
301,16.57948717948718
302,15.7328125
303,16.361458333333335
304,22.536363636363635
305,17.096875
306,21.196774193548386
307,13.053233830845771
308,23.263218390804596
309,16.327868852459016
310,19.041573033707866
311,16.4275
312,12.4168
313,17.485454545454544
314,22.07450980392157
315,19.407692307692308
316,18.75294117647059
317,8.111764705882353
318,16.275925925925925
319,16.731578947368423
320,19.113888888888887
321,19.156
322,17.897142857142857
323,17.761904761904763
324,17.830434782608695
325,18.983333333333334
326,14.8504
327,13.311764705882354
328,16.395081967213116
329,19.185294117647057
330,19.959139784946238
331,18.327906976744185
332,11.902564102564103
333,18.12761904761905
334,11.36241610738255
335,14.331843575418995
336,18.9925
337,3.3187919463087248
338,14.65108695652174
339,21.033333333333335
340,15.395121951219512
341,14.822
342,18.338793103448275
343,14.622429906542056
344,19.987058823529413
345,11.93235294117647
346,15.021176470588236
347,15.572794117647058
348,18.79230769230769
349,17.22945205479452
350,17.266265060240965
351,14.245454545454546
352,16.202
353,16.404195804195805
354,12.749152542372881
355,15.717777777777778
356,15.888118811881188
357,12.838235294117647
358,18.69705882352941
359,22.133333333333333
360,22.486206896551725
361,198.6
362,14.228301886792453
363,24.60681818181818
364,13.839473684210526
365,11.812844036697248
366,13.481617647058824
367,14.7125
368,14.196629213483146
369,14.444444444444445
370,15.61875
371,14.5776
372,14.470833333333333
373,9.782075471698112
374,14.648529411764706
375,13.238888888888889
376,12.775
377,8.909302325581395
378,17.45492957746479
379,12.415384615384616
380,11.196428571428571
381,10.297328244274809
382,19.686363636363637
383,13.60576923076923
384,19.131182795698926
385,16.190196078431374
386,13.898319327731093
387,15.444166666666666
388,10.107936507936508
389,16.927777777777777
390,22.3135593220339
391,17.08139534883721
392,13.384883720930233
393,12.812987012987014
394,13.523880597014925
395,12.012269938650308
396,10.076
397,15.44909090909091
398,17.035416666666666
399,15.169298245614035
400,12.320238095238095
401,20.777272727272727
402,12.867164179104478
403,17.865277777777777
404,18.51101694915254
405,28.141860465116277
406,18.60609756097561
407,15.99
408,13.79375
409,14.00875
410,20.270093457943926
411,16.27906976744186
412,16.132773109243697
413,19.836363636363636
414,17.652272727272727
415,12.758139534883721
416,25.28974358974359
417,13.545
418,17.433333333333334
419,14.403448275862068
420,15.479259259259258
421,17.627722772277227
422,19.135483870967743
423,16.43974358974359
424,16.673333333333332
425,11.184162895927601
426,17.9825
427,9.303676470588234
428,13.817391304347826
429,16.984615384615385
430,11.142335766423358
431,15.173684210526316
432,19.98181818181818
433,14.595744680851064
434,17.93888888888889
435,16.58032786885246
436,17.870967741935484
437,23.97027027027027
438,11.97680412371134
439,10.96140350877193
440,17.03240740740741
441,11.116949152542373
442,16.64512195121951
443,19.011290322580646
444,15.442857142857143
445,14.086363636363636
446,20.023529411764706
447,13.551162790697674
448,15.648387096774194
449,16.940151515151516
450,19.12972972972973
451,16.623684210526317
452,14.592592592592593
453,17.554444444444446
454,21.5972972972973
455,12.131724137931034
456,10.693333333333333
457,9.226315789473684
458,16.623762376237625
459,15.556666666666667
460,4.42970297029703
461,19.64864864864865
462,17.372222222222224
463,11.396923076923077
464,21.388
465,16.997916666666665
466,17.575824175824177
467,23.765217391304347
468,17.362745098039216
469,15.30204081632653
470,15.943243243243243
471,11.85897435897436
472,16.75294117647059
473,20.4
474,25.1725
475,13.520238095238096
476,19.767741935483873
477,12.485849056603774
478,20.614516129032257
479,25.763513513513512
480,15.55
481,17.77962962962963
482,19.75483870967742
483,19.490322580645163
484,13.962264150943396
485,12.001176470588236
486,16.843119266055044
487,19.68235294117647
488,18.305
489,17.158333333333335
490,3.0287539936102235
491,14.828671328671328
